SongID,Artist,Title,Artist_Sorted,Title_Sorted
31768,Johnny Cash,40 Shades Of Green,17495,175
32525,José Jose,40 Y 20,18043,176
1637,"Crosby, Stills, Nash & Young",4 20,8306,177
42488,Obie Bermudez,4 30 Am,24504,178
50012,Shinedown,45,29408,179
33345,Kathy Mattea,455 Rocket,18702,180
52758,Suzi Quatro,48 Crash,31275,181
42931,Our Lady Peace,4am,24779,182
34759,L Engberg,4 Bugg O En Coca Cola,20189,183
56123,Veronicas,4 Ever,33679,184
19968,Anthony David & Algebra,4evermore,1861,185
27316,Gwen Stefani,4 In The Morning,14470,186
8841,Avant,4 Minutes,2247,187
20045,Arika Kane,4 The Lovers,2058,188
50106,Shooter Jennings,4th Of July,29475,189
21906,Brian McKnight,4th Of July,4967,190
55212,Tracy Byrd,4 To 1 In Atlanta,32804,191
5292,Dierks Bentley,5-1-5-0,9693,192
37992,Manfred Mann,5-4-3-2-1,21641,193
51795,Steps,5-6-7-8,30683,194
29525,Jamie O'Hara,50 000 Names,15998,195
25790,George Jones,50 000 Names,13461,196
43716,Paul Peter & Mary,500 Miles,25348,197
44133,Peter Paul & Mary,500 Miles,25583,198
11879,Bobby Bare,500 Miles Away From Home,4234,199
35580,Lemar,50 50,20162,200
55328,Tragically Hip,50 Mission Cap,32919,201
50259,Simon And Garfunkel.Robdog And,50 Ways To Get Bin Laden Parod,29564,202
50229,Simon & Garfunkel,50 Ways To Leave Your Lover,29565,203
43728,Paul Simon,50 Ways To Leave Your Lover,25359,204
55341,Train,50 Ways To Say Goodbye,32932,205
56674,Who,515,34208,206
55087,Toots And The Maytals,54-46 Was My Number,32708,207
37991,Manfred Mann,5 4 3 2 1,21642,208
51793,Steps,5 6 7 8,30684,209
21123,Billy Jo Spears,57 Chevrolet,3712,210
21047,Billie Jo Spears,57 Chevrolet,3511,211
50230,Simon & Garfunkel,59Th Street Bridge Song,29566,212
39530,Mc Fly,5 Colours In Her Hair,22597,213
11496,Blue Rodeo,5 Days In May,4143,214
22054,Brownstone,5 Miles To Empty,5202,215
33188,Karaoke Jingle,5 Minutes Until The Karaoke St,18558,216
42223,Noah And The Whale,5 Years Time,24306,217
14144,Dominoes,60 Minute Man,10090,218
33189,Karaoke Jingle,60 Second Count Down Then Big,18559,219
56877,Wilson Pickett,634-5789 (Soulsville USA),34399,220
21416,Blues Brothers,634 - 5789,4154,221
11525,Blues Brothers,634 5789,4155,222
56946,Wolverines,65 Roses,34470,223
17638,Fetty Wap & Remy Boyz,679,12489,224
21907,Brian McKnight,6 8 12,4968,225
19507,Alarm,68 Guns,888,226
10341,Beyonce,6 Inch Feat The Weeknd,3330,227
3193,Cuban Classic,6 Lindas Cubanas,8385,228
56312,Wallflowers,6th Avenue Heartache,33863,229
56972,Wretch 32,6 Words,34492,230
44994,Prince & The New Power Generat,7,26132,231
10343,Beyonce,11-Jul,3331,232
18179,Four Tops,7-Rooms Of Gloom,12845,233
10342,Beyonce,7 11,3332,234
5409,Connells,74-75,7875,235
3844,Craig David,7 Days,8126,236
45231,Queen,7 Seas Of Rye,26276,237
40161,Miley Cyrus,7 Things,23011,238
6454,ABS,7 Ways,378,239
37650,Lukas Graham,7 Years,21414,240
27149,Groove Coverage,7 Years & 50 Days,14358,241
24916,Ebba Gron,800 Grader,10715,242
49044,Sawyer Brown,800 Pound Jesus,28729,243
41088,Nails,88 Lines About 44 Women,23661,244
9439,Beatles,8 Days A Week,2810,245
25347,Eminem,8 Mile,11541,246
29190,Jake Owen,8 Second Ride,15780,247
20980,Big & Rich,8 th Of November,3399,248
34274,Kimberley Locke,8Th World Wonder,19257,249
34277,Kimberly Locke,8th World Wonder,19259,250
36957,"Locke, Kimberly",8th World Wonder,20918,251
29954,Jean Wyclef & Mary J. Blige,911,16319,252
56988,Wyclef Jean & Mary J. Blige,911,34506,253
35184,Laurence Jalbert,9504-08 Tomber,19891,254
45366,Question Mark & The Mysterians,96 Tears,26354,255
33534,Keith,986,18823,256
30599,Jill King,986 Degrees & Falling,16733,257
12779,Brian Mc Comas,999% Sure (I've Never Been He,4956,258
29910,Jay-Z,99 Problems,16273,259
41761,Nena,99 Red Balloons,24021,260
5889,Damien Rice,9 Crimes,8557,261
49878,Sheena Easton,9 To 5,29308,262
14054,Dolly Parton,9 To 5,10020,263
55950,Vampire Weekend,A-Punk,33519,264
58363,Lady Gaga,A-Yo Instrumental Version (Wit,19675,265
30955,Jo Stafford & Gordon MaCrae,A-You're Adorable (Alphabet So,18040,266
32117,Johnny Paycheck,A 11,17693,267
37193,Lorie,A 20 Ans Izzy,21049,268
26711,Goldfrapp,A&E,14057,269
6233,Aaron Carter,Aaron's Party Come And Get It,245,270
56569,What This Country Needs,Aaron Tippin,34111,271
44230,Phil Collins,Abacab,25680,272
25660,Genesis,Abacab,13358,273
5672,Clint Black & Wynonna,A Bad Goodbye (Duet),7550,274
19928,Anna Book,Abc,1779,275
29103,Jackson 5,A B C,15704,276
29130,Jackson Five,ABC,15723,277
39813,Michael Jackson,Abc,22763,278
35854,Levert,ABC 123,20357,279
18662,Frankie Lymon,Abc's Of Love,12937,280
55726,U2,A Beautiful Day,33312,281
10333,Beyonce & Shakira,A Beautiful Liar,3333,282
2813,30 Seconds To Mars,A Beautiful Lie,53,283
45765,Rascals,A Beautiful Morning,26606,284
42497,Ocean Colour Scene,A Beautiful Thing,24509,285
42406,Oasis,A Bell Will Ring,24461,286
4754,Caryl Mack Parker,A Better Love Next Time,5989,287
47153,Robbie Williams,A Better Man,27483,288
23206,Clint Black,A Better Man,7551,289
21895,Brian Kennedy,A Better Man,4951,290
51201,Standard,A Bicycle Built For Two,30172,291
25180,Elvis Presley,A Big Hunk O' Love,11250,292
25742,George Hamilton IV,Abilene,13437,293
41273,Natalie Maines & Sheryl Crow,Abilene,23738,294
49966,Sheryl Crow & Natalie Maines,Abilene,29373,295
25776,George Iv Hamilton,Abilene,13460,296
16166,Elyar Fox,A Billion Girls,11492,297
5590,Deryl Dodd,A Bitter End,9476,298
41122,Nat King Cole,A Blossom Fell,23768,299
42123,Nirvana,About A Girl,24276,300
52438,Sugababes,About A Girl,31095,301
2130,Caliope,A Bout De Ciel,5612,302
52983,T.I. Feat Young Thug,About The Money (Clean),31400,303
13004,Brooke Hogan  & Paul Wall,About Us,5096,304
52440,SugaBabes,About You Know,31096,305
52443,SugaBabes,About You Now,31097,306
44883,Praise & Worship,Above All,26046,307
42250,Norah Jones,Above Ground,24351,308
54628,Tom Jones,A Boy From Nowhere,32424,309
55471,Trick Pony,A Boy Like You,33066,310
31770,Johnny Cash,A Boy Named Sue,17496,311
51931,Steve Miller,Abracadabra,30761,312
25435,Steve Miller Band,Abracadabra,30763,313
13634,Dion,Abraham Martin & John,9749,314
28974,J Inlesias & R Ferro,Abrazame,16961,315
7152,Alejandro Fernández,Abrazame,963,316
36966,Lolita,Abrazame,20926,317
32861,Julio Iglesias,Abrazame,18313,318
50918,Spanish,Abrazame,30023,319
32611,Juan Gabriel,Abrazame Muy Fuerte,18133,320
48056,Rostros Ocultos,Abre Tu CorazÓ N,28100,321
32652,Juan Luis Guerra & Diego Torre,Abriendo Caminos,18175,322
26549,Gloria Estefan,Abriendo Puertas,13955,323
38842,Martina McBride,A Broken Wing,22144,324
32612,Juan Gabriel,Abrzame Muy Fuerte,18134,325
30541,Jewel,Absence Of Fear,16680,326
24069,Deana Carter,Absence Of The Heart,9137,327
49243,Scritti Politti,Absolute,28900,328
734,David Bowie,Absolute Beginners,8931,329
29210,Jam,Absolute Beginners,15794,330
42109,Nine Days,Absolutely (Story Of A Girl),24263,331
5990,9 Days,Absolutely,204,332
56024,Vanessa Amorosi,Absolutely Everybody,33535,333
45595,Randy Houser,Absolutely Nothing,26497,334
11650,Bob Dylan,Absolutely Sweet Marie,4355,335
18116,Foster & Allen,A Bunch Of Thyme,12801,336
42864,Oro Solido,Abusadora,24729,337
51603,Star,Academie Salaud,30552,338
37289,Los Dos Gilbertos,Aca Entre Nos,21104,339
33644,Kelis,Acapella,18892,340
33274,Karmin,Acapella,18643,341
51202,Standard,A Capital Ship,30173,342
41419,Neil Diamond,Acapulco,23869,343
37865,Límite,Acariciame,21551,344
32606,Juan Bau,Acariciame,18117,345
11037,Bing Crosby,Ac Cent Tchu Ate The Positive,3778,346
22314,Calvin Harris,Acceptable In The 80's,5630,347
3063,Counting Crows,Accidentally In Love,8076,348
18845,Frente,Accidentally Kelly Street,13229,349
23494,Counting Crows,Accidently In Love,8077,350
15600,Elvis Costello,Accidents Will Happen,11218,351
42857,Orianthi,According To U,24724,352
42858,Orianthi,According To You,24725,353
